prompt_id,category,char_id,intent_id,situation_id,consumer_utterance,paraphrase_1,paraphrase_2,paraphrase_3,expected_coerced_value,notes
INT-INV-001,INTENT,,INTENT-INVEST-CASH,SIT-INV-001,I have some cash savings I'd like to invest,I want to grow my savings rather than leaving them in cash,What can I do with my savings to beat inflation?,I'm thinking about investing some of my money,,Firm-initiative trigger for SIT-INV-001 cash drag situation
INT-INV-002,INTENT,,INTENT-FIRST-INVEST,SIT-INV-002,I've never invested before and want to start,I'm new to investing and don't really know where to begin,How do I start investing for the first time?,I want to try investing but I'm a bit nervous about it,,Consumer-request trigger for SIT-INV-002
INT-INV-003,INTENT,,INTENT-ISA-ALLOWANCE,SIT-INV-003,I want to use my ISA allowance before April,I haven't used my ISA this year and it's nearly April,Can I still put money in an ISA before the tax year ends?,I want to make the most of this year's ISA allowance,,Tax year end trigger for SIT-INV-003
INT-INV-004,INTENT,,INTENT-LUMP-SUM,SIT-INV-004,I've just received some money and I'm not sure what to do with it,I got a windfall and want some ideas on what to do,I have a lump sum I need to invest,I recently inherited some money and would like some direction,,Lump sum capital event trigger for SIT-INV-004
INT-INV-005,INTENT,,INTENT-REVIEW-INVESTMENT,SIT-INV-005,I have an old investment account I haven't looked at in ages,I think I have an ISA somewhere that I forgot about,Can you show me my investment account? I haven't logged in for a while,I want to review my dormant investment,,Firm-initiative dormant account trigger for SIT-INV-005
INT-INV-006,INTENT,,INTENT-REGULAR-INVEST,SIT-INV-006,I save a bit every month and want to do more with it,I've been saving regularly and want to invest instead,Can I turn my regular savings into investments?,I put £100 aside every month and want to make it work harder,,Regular saver investment upgrade trigger for SIT-INV-006
INT-SD-001,INTENT,,INTENT-DEPOSIT-MATURITY,SIT-SD-001,My fixed-rate savings bond is about to mature,My deposit account matures next month,"My structured deposit is coming to an end, what are my options?",My fixed term is ending and I need to decide what to do,,Maturing deposit trigger for SIT-SD-001
INT-PEN-001,INTENT,,INTENT-PENSION-CONTRIBUTIONS,SIT-PEN-001,I'm worried I'm not saving enough for retirement,I don't think my pension contributions are enough,How can I save more into my pension?,My pension pot seems too small for what I'll need,,Under-saving trigger for SIT-PEN-001
INT-PEN-002,INTENT,,INTENT-PENSION-FUNDS,SIT-PEN-002,I want to choose where my pension money is invested,Can I pick my own pension funds?,I don't know what funds my pension is in,I want to move my pension out of the default fund,,Fund disengagement trigger for SIT-PEN-002
INT-PEN-003,INTENT,,INTENT-LIFE-EVENT,SIT-PEN-003,I recently got a pay rise and want to save more for retirement,I've just finished paying off my car loan and have more money free,My mortgage is ending next month — I want to put more into my pension,Things have changed financially and I want to review my contributions,,Life event trigger for SIT-PEN-003
INT-DEC-001,INTENT,,INTENT-RETIREMENT-PLAN,SIT-DEC-001,I'm approaching retirement and need to think about accessing my pension,I'm in my late fifties and haven't planned how to take my pension,I need help deciding how to draw down my pension,What are my options for taking money from my pension?,,Pre-retirement planning trigger for SIT-DEC-001
INT-DEC-002,INTENT,,INTENT-TAKE-PENSION,SIT-DEC-002,I'm nearly at retirement age and want to start taking my pension,I retire in a few years and have a small pension pot,How do I take money from my small pension?,I need to start accessing my pension soon,,Small pot access trigger for SIT-DEC-002
INT-DEC-003,INTENT,,INTENT-ANNUITY,SIT-DEC-003,I'm thinking about getting an annuity for a guaranteed income,Could an annuity be right for me?,I want a guaranteed income in retirement — is an annuity the answer?,I'd like to explore annuity options,,Annuity enquiry trigger for SIT-DEC-003
INT-DEC-004,INTENT,,INTENT-DRAWDOWN-REVIEW,SIT-DEC-004,I'm already in drawdown but haven't reviewed my pension in a while,I draw from my pension but haven't checked my strategy for ages,My drawdown pension needs a review,I've been in drawdown for two years and have never changed anything,,Drawdown review trigger for SIT-DEC-004
TRAIT-P1A-001,TRAIT_GAP_FILL,CHAR-P1A-I1,,,I'm 38,Thirty-eight,38 years old,I'm in my late thirties,2,age_band 2 (30–39). Band 2 qualifies for SEG-INV-002 (<=3)
TRAIT-P1A-002,TRAIT_GAP_FILL,CHAR-P1A-I1,,,I'm 55,Fifty-five,Just turned 55,55,4,age_band 4 (55–64). Required for DEC-001/003 (age >= 4)
